Manufacturer,Part Number
,
,
,
,
,
,
,
Hammond MFG,RCHS1901017BK1
Hammond Manufacturing,1421N100
,
Molex,0887329000 
ECI,
,
,
,
,
,
,
,
,
,
,
,
,
Hammond MFG,RASU190315BK1
McMaster-Carr,94648A320
Keystone Electronics,2088
,
,
Keystone Electronics,2092
,
,
,
,
,
McMaster-Carr,94648A320
,
,
,
,
AVX Corporation ,08055C104KAT2A
AVX Corporation ,08053D105KAT2A
Molex,22232031
Molex,0022032021
Keystone,5002
Molex,0022232021
Panasonic,ERJ-6ENF1001V
Bourns Inc,3299Y-1-103
Panasonic,ERJ-6GEY0R00V
Panasonic,ERJ-6ENF1002V
Panasonic,ERJ-6ENF1501V
Panasonic,ERJ-6ENF2201V
Panasonic,ERJ-6ENF6651V
Microchip,MCP41010-I/SN
Analog Devices,AMP04FSZ
 Maxim,MAX3223CUP+
Maxim,DS2433S+
STMicroelectronics,M93C46-WMN6TP
,
,
,
,
AVX Corporation ,TPSD106K035R0300
AVX Corporation ,08055C104KAT2A
AVX Corporation ,08053D105KAT2A
AVX Corporation ,04023C104KAT2A
Taiyo Yuden ,TMK212AB7475KG-T 
AVX Corporation ,08053D106KAT2A
AVX Corporation ,04025A120GAT2A
AVX Corporation ,04023C103KAT2A
AVX Corporation ,TPSD107M020R0085
AVX Corporation ,08055C103KAT2A
Murata ,GRM216R71E471KA01D
,
AVX Corporation ,08055C561KAT2A
AVX Corporation ,12063D106KAT2A
Kemet,C0805C224K5RACTU
AVX Corporation ,12103D226KAT2A
,
LUMEX,SML-LXT0805YW-TR
LUMEX,SML-LXT0805IW-TR
LUMEX,SML-LXT0805GW-TR
Fairchild,MBR0520L
,
Molex,0022232031
Sullins,GRPB102VWQS-RC
Harwin,M701-330442
Keystone,5002
Molex,0026604060
TE Connectivity,5223513-2
Molex,0022232021
,
Omron Electronics Inc,G6K-2F-TR-DC5
,
Laird-Signal Integrity,HZ1206E601R-10
,
International Rec,IRF8707TRPBF
Fairchild,BSS138
,
Panasonic,ERJ-6ENF1004V
Panasonic,ERJ-6ENF1001V
Panasonic,ERJ-6GEY0R00V
Bourns Inc,3299Y-1-103
Panasonic,ERJ-6ENF2260V
Panasonic,ERJ-6ENF1002V
Panasonic,ERA-6AEB103V
Panasonic,ERJ-6ENF1100V
Panasonic,ERJ-6ENF1003V
Panasonic,ERJ-6ENF2800V
Panasonic,ERJ-6ENF1201V
Panasonic,ERJ-6ENF9760V
Panasonic,ERJ-L06KF10CV
Panasonic,ERJ-6ENF1000V
Panasonic,ERJ-6ENF3402V
Panasonic,ERJ-6ENF4123V
Panasonic,ERJ-6ENF2201V
Panasonic,ERJ-6ENF2671V
Panasonic,ERJ-6ENF1242V
Panasonic,ERJ-6GEYJ472V
Panasonic,ERJ-6ENF2213V
Panasonic,ERA-6AEB470V
Panasonic,ERA-6AEB4220V 
Panasonic,EVQ-Q2W01W
,
Texas Instruments,LM3886TF/NOPB
Freescale,MK60DN512VLQ10
Future Technology,FT232RL-REEL
Maxim,DS2482S-100+
Texas Instruments,LM2937IMP-12/NOPB
Texas Instruments,LM2937IMP-3.3/NOPB
Linear Technology,LT1761ES5-5#TRPBF
